MS_depth,age_kabp_MS,MS
1.01,1.6276,347
1.51,3.05515,389
1.99,5.291,134
2.53,7.8069,244
3.01,9.0716,213
3.53,10.2458,253
4.01,11.451,204
4.53,13.2221,198
5.01,14.8655,221
5.53,15.94245,334
6.01,16.54265,328
6.53,17.20305,307
7.01,18.01325,282
7.53,18.8801,305
8.01,19.93005,261
8.51,21.39255,241
9.01,22.85355,286
9.53,24.25235,251
10.01,25.52295,350
10.53,26.8582,257
11.01,27.91635,253
11.53,29.06795,215
12.01,29.89445,270
12.53,30.6296,276
13.01,31.30935,237
13.53,32.5588,130
14.01,33.69665,253
14.53,35.0618,194
15.01,36.491,291
15.5,37.9544,241
16.01,38.86095,179
16.53,39.6167,283
17.01,40.0975,230
17.53,41.14455,134
18.01,42.1338,125
18.53,43.2833,132
19.01,44.472,122
19.53,45.76455,166
20.01,46.9647,129
20.53,48.2696,108
21.01,49.50545,142
21.53,51.19985,98.4
22.01,52.76845,95.5
22.53,54.35455,101
23.01,55.7358,126
23.53,57.2256,111
24.01,58.7671,152
24.53,60.45445,105
25.01,61.8756,118
25.53,63.085,127
26.01,64.22645,156
26.53,65.59195,180
27.01,66.9127,149
27.53,68.32725,226
28.01,69.60665,176
28.53,71.00215,228
29.01,72.28015,144
29.53,73.65795,70.5
30.01,74.92665,123
30.53,76.2281,167
31.01,77.4217,68.4
31.53,78.6319,95.5
32.01,79.63615,158
32.53,80.7281,65.4
33.01,81.75105,65.5
33.53,82.8595,46.5
34.01,83.9011,46.3
34.53,85.19505,76.8
35.01,86.41095,88.7
35.53,87.72535,99.7
36.01,88.97035,149
36.53,90.31165,66.3
37.01,91.85875,58.1
37.52,93.5235,67.6
38,95.00025,84.5
38.53,96.39155,52.9
39.01,97.6552,81.5
39.53,99.0514,53.1
40.01,100.36965,39.6
40.54,101.8399,44.9
41.01,102.82335,40.3
41.51,103.9269,78.8
42.01,105.0354,63
42.53,106.21295,44.3
43.01,107.3033,69.6
43.51,108.89695,127
44.01,110.53725,120
44.53,112.3316,74.4
45.01,114.1896,45.9
45.52,116.1433,49.6
46,118.1113,57.6
46.53,120.34815,50.9
47.01,122.32925,37.9
47.53,124.43205,25.2
48.01,126.4075,8.7
48.53,128.3843,72.2
49.01,130.06765,88.2
49.53,131.8996,100
50.01,133.37285,99
50.53,134.92925,136
51.01,136.32,140
51.53,137.7519,125
52.01,139.05075,111
52.53,140.41825,115
53.01,141.69125,112
53.53,143.04445,132
54.01,144.2924,133
54.53,145.6498,128
55.01,146.87195,106
55.53,148.1805,113
56.01,149.39185,114
56.53,150.4734,115
57.01,151.46335,177
57.53,152.55885,152
58.01,153.62225,129
58.53,154.79655,163
59.01,155.5219,143
59.53,156.16895,137
60.01,156.7576,171
60.53,157.33455,150
61.01,157.86595,136
61.51,158.4423,255
62.01,159.04085,203
62.53,159.65565,125
63.01,160.31435,116
63.53,161.018,125
64.01,161.6594,115
64.53,162.3864,164
65.01,163.04875,144
65.52,163.8107,137
66,164.56435,121
66.53,165.3961,151
67.01,166.1461,114
67.53,166.95575,105
68.01,167.66155,180
68.53,168.42,111
69.01,169.1404,124
69.52,169.86355,92.5
70,170.5439,103
70.53,171.28615,128
71.01,171.94545,150
71.53,172.67385,167
72.01,173.3896,92.5
72.53,174.18315,106
73.01,174.91285,103
73.51,175.61815,129
74,176.31515,108
74.53,177.0331,85.3
75.01,177.6436,114
75.53,178.3031,213
76.01,178.9374,109
76.53,179.62895,96.9
77.01,180.29135,101
77.51,181.04905,93.6
78,181.7878,130
78.53,182.643,109
79.01,183.4484,129
79.53,184.27435,92.6
80.01,184.9488,172
80.53,185.66385,117
81.01,186.38615,83.9
81.52,187.24955,121
82,188.04915,128
82.53,188.8758,117
83.01,189.622,205
83.53,190.40255,149
84.01,191.1103,96.1
84.53,191.89115,101
85.01,192.6048,117
85.51,193.3552,314
86.01,194.098,76
86.53,194.9811,74
87.01,195.79555,88
87.53,196.74935,123
88.01,197.70405,63.9
88.53,198.7287,74.9
89.01,199.5692,81.6
89.51,200.44215,57.9
90,201.2866,46.1
90.53,202.17515,38.7
91.01,202.98705,71.2
91.53,203.9126,70.4
92.01,204.7889,120
92.53,205.86125,89.8
93.01,207.5354,64.8
93.51,209.26655,66.2
94,210.79955,68.4
94.53,212.2834,54
95.01,213.6327,52.4
95.53,215.44595,31.3
96.01,217.1486,43.1
96.53,219.0454,124
97.01,220.9643,277
97.53,223.10005,184
98.01,224.54055,116
98.53,225.8947,110
99.01,227.0812,108
99.53,228.1518,161
100.01,229.14555,103
100.53,230.24605,53
101.01,231.28235,128
101.53,232.39395,152
101.99,233.3956,67
102.47,234.43385,102
102.95,235.45955,61.1
103.43,236.42445,71.4
103.91,237.38225,77
104.39,238.41,45.9
104.87,239.5158,21.2
105.37,240.64655,73.5
105.83,241.5249,79.9
106.31,242.4164,190
106.79,243.31025,162
107.27,244.269,196
107.75,245.2584,150
108.23,246.2223,101
108.71,247.15125,126
109.18,248.063,137
109.66,249.1482,121
110.15,250.32975,140
110.63,251.45975,106
111.11,252.69345,106
111.59,253.9457,95.8
112.07,255.22265,130
112.55,256.61625,99.5
113.03,258.00605,90.5
113.51,259.4275,110
113.99,260.90955,111
114.47,262.36395,100
114.95,263.63865,142
115.43,264.8677,88.9
115.91,266.10205,167
116.39,267.29635,214
116.87,268.49325,237
117.35,269.71025,148
117.83,270.97155,236
118.31,272.2386,211
118.79,273.42935,260
119.27,274.5874,228
119.75,275.7168,204
120.23,276.75755,123
120.71,277.78945,123
121.19,278.82755,127
121.67,279.89665,118
122.15,280.9711,160
122.63,281.9962,76.2
123.11,283.01145,183
123.59,284.03425,80.9
124.07,285.31265,64.2
124.55,286.5814,72.5
125.03,287.8765,66.9
125.51,289.15035,46.8
125.99,290.41825,33.9
126.47,291.63795,66.3
126.95,292.7322,110
127.43,293.87485,142
127.91,294.99375,183
128.39,296.127,134
128.87,297.25055,107
129.35,298.1738,134
129.83,299.0788,91.7
130.31,299.9521,82.1
130.79,300.81775,148
131.27,301.6833,110
131.75,302.56915,92.9
132.23,303.47775,94.9
132.71,304.36025,72.3
133.19,305.34735,162
133.67,306.3411,79.3
134.15,307.32675,79.4
134.63,308.31985,111
135.11,309.30525,88.6
135.59,310.2386,87.3
136.07,311.1054,48.7
136.55,311.9707,99.1
137.03,312.86085,77.2
137.51,313.76375,67.7
137.98,314.65505,63.9
138.47,315.5903,87.2
138.95,316.51335,85.9
