geochem_depth,geochem_age_kabp,TIC,TOC,Qz_peakarea,C13,O18,TN,TS
0.01,0.0155,3.28,2.09,,,,0.31,0.118
0.17,0.2753,3.58,1.58,,,,0.25,0.101
0.33,0.535,5.21,1.53,,,,0.22,0.079
0.49,0.7949,5.75,1.65,,,,0.24,0.083
0.65,1.0547,4.09,1.5,,,,0.23,0.135
0.81,1.31675,1.73,0.8,,,,0.22,0.142
0.97,1.5789,3.29,1.49,0.327957,,,0.23,0.119
1.13,1.8388,5.35,3.02,,,,0.3,0.096
1.29,2.0987,5.75,2.42,0.16667,,,0.31,0.106
1.45,2.8221,4.51,2.86,,,,0.39,0.094
1.61,3.5675,6.04,3.01,0.135718,,,0.36,0.094
1.77,4.31285,6.81,2.27,,,,0.28,0.086
1.93,5.05815,7.1,2.72,0.112195,,,0.31,0.097
2.09,5.80375,4.56,3.74,,,,0.43,0.105
2.25,6.54905,4.94,2.95,0.151276,,,0.38,0.099
2.41,7.2946,4.47,3.29,,,,0.41,0.099
2.57,8.0397,1.55,2.38,0.294329,,,0.38,0.126
2.73,8.4637,0.58,4.84,,,,0.62,0.13
2.89,8.82445,0.16,4.75,0.222065,,,0.55,0.157
3.05,9.18375,0.13,3.56,,,,0.44,0.156
3.21,9.54475,0.13,2.96,0.296497,,,0.42,0.202
3.35,9.8618,1.03,2.04,,,,0.32,0.14
3.49,10.1778,0.06,2.84,0.290751,,,0.34,0.126
3.65,10.53835,1.21,1.96,,,,0.3,0.116
3.81,10.9004,1.39,1.94,0.284287,,,0.3,0.112
3.97,11.34705,1.54,1.99,,,,0.29,0.16
4.13,11.8927,0.04,2.89,0.229832,,,0.39,0.067
4.29,12.4375,0.04,2.72,,,,0.4,0.101
4.47,13.0517,0.06,2.55,0.234685,,,0.41,0.117
4.63,13.5983,0.07,2.2,,,,0.33,0.12
4.79,14.1485,0.08,2.01,0.249407,,,0.32,0.108
4.95,14.69385,0.08,2.01,,,,0.36,0.117
5.11,15.2415,0.04,1.82,0.25845,,,0.31,0.11
5.27,15.62925,0.2,1.65,,,,0.29,0.168
5.43,15.8294,0.16,1.59,0.306092,,,0.27,0.147
5.59,16.0288,0.09,1.58,,,,0.28,0.167
5.75,16.2302,0.05,1.52,0.299183,,,0.28,0.11
5.91,16.43065,0.06,1.41,,,,0.27,0.151
6.07,16.63055,0.13,1.01,0.32827,,,0.22,0.149
6.23,16.8302,0.33,1,,,,0.19,0.145
6.39,17.0312,0.1,0.94,0.312408,,,0.19,0.126
6.55,17.2536,0.11,0.82,,,,0.19,0.106
6.71,17.5244,0.08,0.75,0.383237,,,0.2,0.082
6.87,17.7941,0.14,0.76,,,,0.21,0.1
7.03,18.0638,0.16,0.81,0.360466,,,0.17,0.09
7.19,18.33265,0.05,0.77,,,,0.21,0.089
