time_medstack,O18_medstack,C13_medstack
0,0.45,1.78
1,0.19,1.88
2,-0.12,1.57
3,-0.1,1.52
4,-0.1,1.53
5,-0.27,1.3
6,-0.2,1.05
7,-0.57,0.94
8,-0.67,0.89
9,-0.69,0.98
10,-0.31,1.08
11,0.37,1.16
12,0.93,0.86
13,1.09,1.17
14,1.14,1.23
15,1.3,1.15
16,1.8,1.17
17,2.13,1.39
18,2.37,1.52
19,2.6,1.54
20,2.83,1.57
21,2.77,1.58
22,2.72,1.57
23,2.75,1.62
24,2.73,1.53
25,2.68,1.35
26,2.66,1.3
27,2.59,1.27
28,2.53,1.16
29,2.48,1.21
30,2.67,1.42
31,2.63,1.38
32,2.69,1.27
33,2.39,1.18
34,2.04,1.16
35,2.12,1.2
36,2.24,1.09
37,2.24,0.9
38,2.51,0.88
39,2.46,1.11
40,2.27,0.89
41,2.25,0.7
42,2.01,0.76
43,1.79,0.82
44,1.68,0.99
45,1.45,1
46,1.65,1.08
47,1.47,1.12
48,1.44,1.08
49,1.28,1
50,1.29,1.24
51,1.86,1.26
52,1.38,1.15
53,1.38,1.08
54,1.41,1.07
55,1.56,1.06
56,1.53,1.03
57,1.47,0.97
58,1.8,0.93
59,1.8,1.04
60,1.8,1.2
61,1.61,1.46
62,1.83,1.53
63,1.97,1.44
64,2.05,1.21
65,1.97,1.14
66,1.63,1.16
67,1.83,1.32
68,1.59,1.41
69,1.44,1.4
70,1.58,1.37
71,1.7,1.29
72,1.75,1.2
73,1.64,1.25
74,1.53,1.28
75,1.27,1.26
76,1.02,1.23
77,0.78,1.2
78,0.59,1.13
79,0.4,1.06
80,0.15,1.03
81,-0.18,1.03
82,0.14,1.01
83,0.77,1.17
84,1.14,1.32
85,1.11,1.41
86,1.21,1.53
87,1.24,1.65
88,1.57,1.48
89,1.34,1.23
90,1.16,1.3
91,1.19,1.34
92,1.39,1.22
93,1.14,1.16
94,1.04,1.14
95,0.88,1.18
96,0.64,1.21
97,0.33,1.23
98,0.46,1.23
99,0.5,1.12
100,-0.63,0.97
101,-0.68,0.93
102,-0.12,1.04
103,-0.11,0.86
104,0.09,0.76
105,0.1,0.72
106,0.25,0.87
107,0.85,1.01
108,0.93,1.16
109,1.12,1.27
110,1.31,1.35
111,1.19,1.3
112,1.07,1.24
113,0.95,1.19
114,0.99,1.17
115,0.74,1.14
116,0.48,1.08
117,0.44,1
118,0.5,0.93
119,0.26,0.8
120,-0.07,0.45
121,-0.35,0.51
122,-0.55,0.39
123,-0.87,0.36
124,-0.49,0.38
125,-0.51,0.37
126,-0.58,0.44
127,-0.53,0.57
128,-0.57,0.56
129,-0.39,0.57
130,0.7,0.78
131,0.88,0.92
132,0.93,0.9
133,1.45,0.79
134,1.52,0.91
135,1.92,0.97
136,2.33,0.93
137,2.42,0.77
138,2.25,0.79
139,2.08,0.78
140,1.92,0.76
141,1.76,0.76
142,1.71,0.79
143,1.81,0.81
144,1.72,0.84
145,1.67,0.87
146,1.64,0.9
147,1.62,0.92
